學校名稱,日間學制學士班學雜費收費基準-醫學系,日間學制學士班學雜費收費基準-牙醫學系,日間學制學士班學雜費收費基準-醫學院,日間學制學士班學雜費收費基準-工學院,日間學制學士班學雜費收費基準-理農學院,日間學制學士班學雜費收費基準-商學院,日間學制學士班學雜費收費基準-文法學院,日間學制學士班學雜費收費基準-其他
吳鳳科技大學,0,0,0,"54,130",0,"47,220",0,0
環球學校財團法人環球科技大學,0,0,0,"50,849",0,"44,222",0,0
台灣首府學校財團法人台灣首府大學,0,0,0,"47,038",0,"44,010","42,099",0
中州學校財團法人中州科技大學,0,0,0,"50,853",0,"44,220",0,"50,853"
修平學校財團法人修平科技大學,0,0,0,"54,220",0,"47,266",0,0
長庚學校財團法人長庚科技大學,0,0,0,0,0,0,0,"45,054"
城市學校財團法人臺北城市科技大學,0,0,0,"50,843",0,"44,210","44,210","44,210"
大華學校財團法人敏實科技大學,0,0,0,"51,217",0,"44,625",0,"51,217"
醒吾學校財團法人醒吾科技大學,0,0,0,0,0,"47,317",0,"47,317"
文藻學校財團法人文藻外語大學,0,0,0,0,0,"52,544","52,544",0
華夏學校財團法人華夏科技大學,0,0,0,"53,390",0,"46,425",0,0
慈濟學校財團法人慈濟科技大學,0,0,0,0,0,0,0,"44,760"
致理學校財團法人致理科技大學,0,0,0,0,0,"45,910",0,"45,910"
康寧學校財團法人康寧大學,0,0,0,"53,234",0,"45,991","45,473",0
宏國學校財團法人宏國德霖科技大學,0,0,0,"54,290",0,"47,325",0,0
東方學校財團法人東方設計大學,0,0,0,"53,900","53,900","46,930",0,"53,900"
崇右學校財團法人崇右影藝科技大學,0,0,0,0,0,"47,534",0,0
台北海洋學校財團法人台北海洋科技大學,0,0,0,"55,000",0,"47,720",0,"52,730"
亞東學校財團法人亞東科技大學,0,0,"52,710","50,105",0,"43,512",0,0
中信學校財團法人中信金融管理學院,0,0,0,0,0,"42,896",0,0
大漢技術學院,0,0,0,"50,849",0,"44,222",0,0
和春技術學院,0,0,0,"50,850",0,"44,220",0,0
南亞科技學校財團法人南亞技術學院,0,0,0,"51,556",0,"44,839",0,"47,086"
蘭陽技術學院,0,0,0,"50,900",0,"45,170",0,0
黎明技術學院,0,0,0,"50,843","50,443","46,426",0,0
經國管理暨健康學院,0,0,0,0,"50,423",0,0,"53,423"
大同技術學院,0,0,0,"47,116","47,116","47,116",0,0
馬偕學校財團法人馬偕醫學院,"59,317",0,"46,577",0,0,0,0,0
法鼓學校財團法人法鼓文理學院,0,0,0,0,0,0,"29,000",0
馬偕學校財團法人馬偕醫護管理專科學校,0,0,0,0,0,0,0,0
仁德醫護管理專科學校,0,0,0,0,0,0,0,0
樹人醫護管理專科學校,0,0,0,0,0,0,0,0
慈惠醫護管理專科學校,0,0,0,0,0,0,0,0
耕莘健康管理專科學校,0,0,0,0,0,0,0,0
敏惠醫護管理專科學校,0,0,0,0,0,0,0,0
育英醫護管理專科學校,0,0,0,0,0,0,0,0
聖母醫護管理專科學校,0,0,0,0,0,0,0,0
新生醫護管理專科學校,0,0,0,0,0,0,0,0
崇仁醫護管理專科學校,0,0,0,0,0,0,0,0
臺北基督學院,0,0,0,0,0,0,"85,000",0
財團法人一貫道天皇基金會一貫道天皇學院,0,0,0,0,0,0,"25,210",0
臺北市立大學,0,0,0,0,"23,500","24,000","20,200",0
