category,tuition
醫學系,"[('國立政治大學', 0), ('國立清華大學', 0), ('國立臺灣大學', 39560), ('國立臺灣師範大學', 0), ('國立成功大學', 39550), ('國立中興大學', 0), ('國立陽明交通大學', 38380), ('國立中央大學', 0), ('國立中山大學', 0), ('國立臺灣海洋大學', 0), ('國立中正大學', 0), ('國立高雄師範大學', 0), ('國立彰化師範大學', 0), ('國立臺北大學', 0), ('國立嘉義大學', 0), ('國立高雄大學', 0), ('國立東華大學', 0), ('國立暨南國際大學', 0), ('國立臺灣科技大學', 0), ('國立雲林科技大學', 0), ('國立屏東科技大學', 0), ('國立臺北科技大學', 0), ('國立臺北藝術大學', 0), ('國立臺灣藝術大學', 0), ('國立臺東大學', 0), ('國立宜蘭大學', 0), ('國立聯合大學', 0), ('國立虎尾科技大學', 0), ('國立臺南藝術大學', 0), ('國立臺南大學', 0), ('國立臺北教育大學', 0), ('國立臺中教育大學', 0), ('國立澎湖科技大學', 0), ('國立勤益科技大學', 0), ('國立體育大學', 0), ('國立臺北護理健康大學', 0), ('國立高雄餐旅大學', 0), ('國立金門大學', 0), ('國立臺灣體育運動大學', 0), ('國立臺中科技大學', 0), ('國國立臺北商業大學', 0), ('國立屏東大學', 0), ('國立高雄科技大學', 0), ('國立臺灣戲曲學院', 0), ('國立臺南護理專科學校', 0), ('國立臺東專科學校', 0), ('臺北市立大學', 0)]"
牙醫學系,"[('國立政治大學', 0), ('國立清華大學', 0), ('國立臺灣大學', 36170), ('國立臺灣師範大學', 0), ('國立成功大學', 36160), ('國立中興大學', 0), ('國立陽明交通大學', 35080), ('國立中央大學', 0), ('國立中山大學', 0), ('國立臺灣海洋大學', 0), ('國立中正大學', 0), ('國立高雄師範大學', 0), ('國立彰化師範大學', 0), ('國立臺北大學', 0), ('國立嘉義大學', 0), ('國立高雄大學', 0), ('國立東華大學', 0), ('國立暨南國際大學', 0), ('國立臺灣科技大學', 0), ('國立雲林科技大學', 0), ('國立屏東科技大學', 0), ('國立臺北科技大學', 0), ('國立臺北藝術大學', 0), ('國立臺灣藝術大學', 0), ('國立臺東大學', 0), ('國立宜蘭大學', 0), ('國立聯合大學', 0), ('國立虎尾科技大學', 0), ('國立臺南藝術大學', 0), ('國立臺南大學', 0), ('國立臺北教育大學', 0), ('國立臺中教育大學', 0), ('國立澎湖科技大學', 0), ('國立勤益科技大學', 0), ('國立體育大學', 0), ('國立臺北護理健康大學', 0), ('國立高雄餐旅大學', 0), ('國立金門大學', 0), ('國立臺灣體育運動大學', 0), ('國立臺中科技大學', 0), ('國國立臺北商業大學', 0), ('國立屏東大學', 0), ('國立高雄科技大學', 0), ('國立臺灣戲曲學院', 0), ('國立臺南護理專科學校', 0), ('國立臺東專科學校', 0), ('臺北市立大學', 0)]"
